feature,korean,unit,adjustable,monotone,q_low,q_high,n_grid_points,baseline_predicted_yield,min_predicted_yield,max_predicted_yield,effect_span_pp,min_predicted_yield_value,max_predicted_yield_value,low_endpoint_value,low_endpoint_yield,high_endpoint_value,high_endpoint_yield,endpoint_delta_pp,causal,disclaimer
uv_time,UV 조사 시간,s,True,1,4.0,5.9,20,0.6715884180924447,0.48735714208476594,0.8045279422116155,31.717080012684956,4.0,5.9,4.0,0.48735714208476594,5.9,0.8045279422116155,31.717080012684956,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
head_vacuum,픽업 헤드 진공압,kPa,True,-1,-67.5,-62.7,21,0.6715884180924447,0.5254264004522402,0.7689175162318089,24.349111577956872,-62.7,-67.5,-67.5,0.7689175162318089,-62.7,0.5254264004522402,-24.349111577956872,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_speed,이젝터 핀 상승 속도,mm/s,True,-1,0.96,1.4,21,0.6715884180924447,0.51500541294912,0.7531279461621873,23.81225332130673,1.4,0.96,0.96,0.7531279461621873,1.4,0.51500541294912,-23.81225332130673,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
temperature,공정 온도,degC,True,0,22.2,27.2,21,0.6715884180924447,0.4920939830641953,0.7114350985265437,21.934111546234845,27.2,22.7,22.2,0.7003490096615537,27.2,0.4920939830641953,-20.82550265973584,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
die_thickness,다이 두께,um,False,1,115.0,138.0,21,0.6715884180924447,0.5307066942370909,0.7474244742717301,21.671778003463913,115.0,138.0,115.0,0.5307066942370909,138.0,0.7474244742717301,21.671778003463913,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
runtime_hours,설비 연속 가동 시간,h,False,-1,4.8,16.610000000000014,21,0.6715884180924447,0.5407369041104902,0.7514634242069207,21.072652009643043,16.6,4.8,4.8,0.7514634242069207,16.6,0.5407369041104902,-21.072652009643043,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_pressure,핀 압력,N,True,1,25.0,34.0,19,0.6715884180924447,0.5533504630737683,0.7538899283192548,20.05394652454865,25.0,34.0,25.0,0.5533504630737683,34.0,0.7538899283192548,20.05394652454865,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_height,핀 상승 높이,mm,True,0,0.4,0.58,19,0.6715884180924447,0.5927606068904018,0.7258722650139711,13.31116581235693,0.4,0.5,0.4,0.5927606068904018,0.58,0.6724816929505824,7.9721086060180575,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
tape_type,다이싱 테이프 종류,-,False,0,0.0,1.0,2,0.6715884180924447,0.6204590821061541,0.7393802038786208,11.892112177246672,1.0,0.0,0.0,0.7393802038786208,1.0,0.6204590821061541,-11.892112177246672,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_vacuum,이젝터 진공압,kPa,True,-1,-52.3,-47.6,21,0.6715884180924447,0.6185949809708099,0.7180899252105306,9.949494423972071,-47.6,-52.3,-52.3,0.7180899252105306,-47.6,0.6185949809708099,-9.949494423972071,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
humidity,상대습도,%RH,True,-1,38.0,52.0,15,0.6715884180924447,0.609991696437636,0.7071021007655682,9.711040432793228,52.0,38.0,38.0,0.7071021007655682,52.0,0.609991696437636,-9.711040432793228,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
vacuum_status,진공 시스템 상태,kPa,False,-1,-97.6,-92.9,21,0.6715884180924447,0.6107129205423101,0.696051243416178,8.533832287386788,-92.9,-97.6,-97.6,0.696051243416178,-92.9,0.6107129205423101,-8.533832287386788,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
uv_intensity,UV 광량,mW/cm^2,True,1,1098.0,1280.0,21,0.6715884180924447,0.642650735270037,0.6964194309509145,5.37686956808775,1098.0,1280.0,1098.0,0.642650735270037,1280.0,0.6964194309509145,5.37686956808775,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
