die_id,uv_time,uv_intensity,pin_speed,pin_pressure,pin_height,head_vacuum,pin_vacuum,temperature,humidity,vacuum_status,runtime_hours,tape_type,die_thickness,pickup_success
D000000,4.7,1132.0,0.98,27.5,0.49,-66.3,-50.6,25.2,41.0,-95.4,10.8,0.0,126.0,1
D000001,3.5,1180.0,1.1,36.5,,-62.5,-52.3,29.0,51.0,-91.7,5.6,0.0,130.0,0
D000002,5.4,1165.0,1.08,27.0,0.51,-65.9,-51.2,24.3,45.0,-96.7,9.6,0.0,122.0,1
D000003,5.4,1057.0,1.41,26.0,0.67,-66.2,-49.4,28.6,38.0,-94.6,3.7,0.0,117.0,0
D000004,4.3,,1.09,30.0,0.44,-63.5,-51.8,24.5,46.0,-94.5,11.9,1.0,126.0,0
D000005,3.3,1051.0,0.82,30.5,0.32,-62.2,-53.2,24.2,57.0,-99.9,8.2,0.0,136.0,0
D000006,4.4,1148.0,1.14,31.0,0.47,-64.3,-49.1,25.2,44.0,-95.4,12.1,1.0,126.0,1
D000007,5.0,1225.0,1.12,28.5,0.48,-66.0,-51.0,22.6,38.0,-97.8,10.7,0.0,129.0,1
D000008,5.2,1150.0,1.09,32.0,0.43,-67.0,-48.7,,40.0,-94.6,9.2,0.0,120.0,1
D000009,4.7,1165.0,1.32,28.5,0.39,-68.2,-47.1,28.4,35.0,-91.0,6.2,0.0,145.0,1
D000010,3.6,1063.0,1.34,37.5,0.38,-69.7,-53.1,22.4,41.0,-91.3,15.9,1.0,130.0,1
D000011,4.7,1199.0,1.0,32.5,0.41,-65.4,-49.0,24.1,43.0,-96.2,7.4,1.0,127.0,1
D000012,4.8,1332.0,1.51,39.5,0.54,-60.6,-54.7,20.4,59.0,-99.3,17.0,1.0,126.0,0
D000013,5.6,1230.0,1.18,26.5,0.52,-63.1,,25.3,43.0,-96.4,9.1,0.0,127.0,1
D000014,4.5,1107.0,1.04,31.5,0.43,-65.4,-48.8,24.0,47.0,-96.0,7.1,0.0,128.0,1
D000015,6.7,1193.0,1.48,37.5,0.36,-62.7,-50.3,29.9,44.0,-94.0,2.8,0.0,150.0,1
D000016,4.7,1083.0,1.13,21.5,0.61,-61.4,-51.4,21.1,45.0,-98.0,1.1,1.0,109.0,0
D000017,3.2,1345.0,0.82,37.5,0.33,-69.7,-48.6,23.2,33.0,-94.4,10.2,1.0,145.0,1
D000018,3.8,1239.0,1.32,31.0,0.38,-61.9,-54.1,30.0,38.0,-94.2,10.9,1.0,,0
D000019,5.1,1158.0,1.2,30.0,0.56,-64.1,-49.6,23.8,45.0,-96.2,8.3,0.0,126.0,0
D000020,5.1,1079.0,1.23,30.0,0.4,-60.7,-53.4,22.8,47.0,-91.5,16.0,1.0,131.0,0
D000021,5.1,1277.0,0.95,27.0,0.53,-65.3,-50.9,23.1,49.0,-95.1,13.1,0.0,132.0,1
D000022,6.5,1390.0,1.53,23.5,0.63,-64.1,-51.2,22.0,39.0,-92.2,14.8,1.0,119.0,0
D000023,5.1,1204.0,1.01,28.0,0.48,-66.3,-50.4,25.9,42.0,-95.0,13.3,0.0,123.0,1
D000024,4.4,1210.0,1.09,31.0,0.54,-65.3,-51.7,23.3,46.0,-95.7,8.3,1.0,134.0,1
D000025,4.5,1162.0,1.03,26.0,0.52,-64.6,-49.4,24.2,44.0,-95.6,6.9,1.0,130.0,0
D000026,5.0,1160.0,1.12,31.0,0.44,-64.9,-50.4,22.3,46.0,-94.6,7.8,1.0,128.0,1
D000027,4.4,1141.0,1.1,30.5,0.5,-65.2,-49.6,25.6,48.0,-94.8,9.5,1.0,137.0,1
D000028,4.8,1225.0,1.09,29.0,0.48,-67.6,-50.8,23.9,42.0,-95.7,10.9,1.0,131.0,1
D000029,4.4,1395.0,1.52,27.0,0.36,-61.0,-49.6,28.1,31.0,-96.7,0.6,1.0,140.0,0
D000030,4.7,1159.0,0.89,27.5,0.49,-67.7,-51.3,24.2,42.0,-96.1,8.2,1.0,129.0,1
D000031,5.0,1199.0,1.18,29.5,0.47,-67.8,-50.5,22.6,41.0,-94.9,13.3,0.0,125.0,1
D000032,5.3,1116.0,0.95,38.5,0.33,-66.5,-52.1,21.9,31.0,-94.1,4.1,0.0,144.0,1
D000033,4.7,1337.0,0.82,35.0,0.48,-63.3,-47.6,25.6,49.0,-94.7,22.3,1.0,140.0,0
D000034,3.9,1205.0,1.16,32.0,0.37,-68.5,-45.1,20.6,,-94.7,6.9,0.0,128.0,0
D000035,6.8,1262.0,1.45,31.0,0.58,-61.7,-48.6,22.6,30.0,-93.0,10.7,1.0,140.0,1
D000036,4.6,1202.0,1.08,27.5,0.51,-65.2,-50.7,25.9,46.0,-95.4,11.8,0.0,125.0,1
D000037,5.7,1201.0,1.28,31.0,0.5,-65.5,-50.0,24.5,48.0,-95.3,10.2,1.0,128.0,1
D000038,4.6,1193.0,1.15,26.5,,-67.4,-51.3,24.6,40.0,-94.5,11.8,1.0,130.0,1
D000039,5.3,1108.0,1.06,30.0,0.48,-64.6,-50.3,25.0,47.0,-96.5,,1.0,137.0,1
D000040,4.9,1186.0,1.14,28.0,0.56,-65.7,-48.3,23.7,48.0,-94.6,3.6,0.0,134.0,1
D000041,5.1,1225.0,1.1,30.0,0.48,-67.0,-52.0,25.4,44.0,-95.9,10.6,1.0,121.0,1
D000042,4.8,1256.0,1.14,26.0,0.57,-64.5,-49.1,23.0,46.0,-94.1,12.9,0.0,125.0,1
D000043,6.7,1378.0,1.52,37.0,0.68,-64.0,-50.2,,60.0,-97.9,,1.0,104.0,0
D000044,4.8,1120.0,1.16,26.5,0.46,-65.7,-48.6,23.2,42.0,-96.2,9.5,0.0,128.0,1
D000045,3.7,1106.0,1.13,30.0,0.47,-63.8,-48.1,22.8,41.0,-95.0,11.9,1.0,130.0,0
D000046,4.7,1219.0,1.09,32.5,0.42,-67.3,-50.2,25.2,50.0,-95.5,7.6,0.0,125.0,1
D000047,5.2,1122.0,1.11,30.0,0.51,-65.7,-51.1,23.9,,-96.7,12.6,1.0,,1
D000048,4.7,1133.0,1.13,28.0,0.48,-66.8,-50.8,26.0,43.0,-95.5,11.6,0.0,129.0,1
D000049,5.8,1131.0,1.41,24.0,0.53,-68.8,-50.6,24.6,48.0,-91.3,7.2,0.0,118.0,1
D000050,5.2,1171.0,1.03,31.0,0.52,-64.7,-49.3,25.4,45.0,-95.0,6.7,1.0,128.0,1
D000051,4.6,1181.0,1.08,31.0,0.47,-63.7,-50.9,25.2,46.0,-97.4,12.1,0.0,133.0,1
D000052,4.7,1228.0,0.98,31.5,0.48,-66.1,-48.3,24.9,40.0,-95.1,4.9,1.0,128.0,1
D000053,3.5,1054.0,1.44,38.5,0.59,-62.2,-49.9,27.6,46.0,-97.2,0.7,0.0,133.0,1
D000054,,1193.0,0.99,27.5,0.48,-65.6,-50.4,25.0,47.0,-95.2,11.7,0.0,130.0,1
D000055,3.7,1303.0,1.12,39.5,0.31,-69.5,-50.9,22.1,58.0,-96.4,13.9,1.0,142.0,0
D000056,5.1,1251.0,0.97,28.0,0.42,-63.4,-49.0,24.0,43.0,-96.8,3.0,1.0,130.0,1
D000057,6.2,1286.0,1.43,27.5,0.63,-68.7,-51.5,25.8,50.0,-95.3,7.1,0.0,108.0,0
D000058,5.5,1311.0,1.55,23.5,0.55,-69.4,-53.2,29.4,37.0,-96.7,6.3,0.0,119.0,0
D000059,4.8,1178.0,1.13,25.0,0.42,-66.7,-49.4,24.9,41.0,-95.3,9.0,1.0,134.0,1
D000060,4.5,1124.0,1.06,29.0,0.51,-66.1,-50.7,23.7,43.0,-95.6,9.0,1.0,128.0,0
