die_id,uv_time,uv_intensity,pin_speed,pin_pressure,pin_height,head_vacuum,pin_vacuum,temperature,humidity,vacuum_status,runtime_hours,tape_type,die_thickness,pickup_success
D000000,4.9,1398.0,1.43,37.5,0.54,-67.7,-51.0,28.7,40.0,-99.6,9.2,1.0,149.0,1
D000001,4.3,1219.0,1.18,27.0,0.47,-66.0,-50.7,22.3,47.0,-96.4,5.2,0.0,129.0,1
D000002,4.4,1156.0,1.14,29.0,0.55,-64.5,-48.9,23.8,45.0,-94.3,8.3,0.0,122.0,1
D000003,7.0,1052.0,1.52,27.5,0.38,-69.8,-46.2,20.5,48.0,-94.1,2.4,0.0,115.0,1
D000004,5.3,1307.0,0.99,40.0,0.34,-67.2,-52.4,24.4,51.0,-93.6,2.9,0.0,141.0,1
D000005,4.9,1249.0,1.08,30.0,0.48,-64.6,-51.2,23.2,44.0,-93.3,8.3,0.0,123.0,1
D000006,5.9,1204.0,1.15,26.5,0.51,-64.6,-53.2,23.5,47.0,-96.5,8.5,0.0,133.0,1
D000007,3.6,1348.0,1.0,33.0,0.48,-64.7,-51.2,29.5,43.0,-92.2,22.2,1.0,142.0,0
D000008,4.7,1177.0,1.05,33.5,0.48,-64.6,-50.9,23.9,46.0,-95.4,10.4,1.0,116.0,1
D000009,5.0,1162.0,1.14,29.5,0.55,-64.5,-51.1,25.0,43.0,-96.0,8.1,0.0,129.0,1
D000010,,1221.0,1.01,32.0,0.47,-66.2,-52.7,23.5,47.0,-94.0,7.0,0.0,133.0,1
D000011,6.0,1203.0,,39.0,0.68,-62.8,-54.2,23.5,46.0,-93.9,5.8,0.0,123.0,1
D000012,4.7,1246.0,1.04,29.5,0.45,-64.9,-50.1,,49.0,-95.4,7.4,,126.0,1
D000013,4.4,1200.0,1.07,31.0,0.5,-65.0,-50.1,21.9,44.0,-96.2,10.7,1.0,127.0,1
D000014,5.3,1190.0,1.24,25.5,0.47,-66.3,-49.3,22.9,43.0,-95.4,,0.0,128.0,1
D000015,5.1,1236.0,0.91,31.5,0.47,-64.8,-50.3,23.6,45.0,-93.5,6.7,1.0,136.0,1
D000016,5.5,1168.0,1.16,27.5,0.56,-65.6,-48.6,23.1,43.0,-94.9,12.6,0.0,120.0,0
D000017,3.7,1358.0,1.6,37.5,0.3,-66.6,-51.2,25.1,40.0,-91.9,3.6,0.0,109.0,0
D000018,4.7,1215.0,1.16,30.0,0.45,-65.5,-50.0,22.5,40.0,-94.9,12.3,1.0,132.0,1
D000019,4.7,1145.0,0.97,26.0,0.5,-66.3,-49.3,24.3,43.0,-95.7,12.6,0.0,122.0,1
D000020,7.0,1323.0,1.02,34.0,0.6,-60.3,-49.3,24.8,46.0,-97.6,7.2,1.0,145.0,1
D000021,5.4,1319.0,1.16,25.0,0.62,-62.9,-50.8,22.8,60.0,-93.9,18.1,1.0,116.0,0
D000022,4.2,1231.0,1.22,29.5,0.41,-65.5,-48.7,21.8,42.0,-95.8,9.1,0.0,135.0,1
D000023,6.4,1150.0,1.55,24.5,0.69,-60.4,-54.1,29.4,38.0,-99.2,0.4,0.0,145.0,0
D000024,6.6,1252.0,0.88,30.0,0.49,-68.0,-53.5,21.1,49.0,-91.2,23.9,1.0,150.0,1
D000025,5.8,1100.0,1.02,32.0,0.46,-64.1,-51.1,29.8,50.0,-95.2,23.6,1.0,106.0,0
D000026,5.1,1106.0,1.26,28.0,0.49,-64.4,-47.5,24.7,43.0,-95.4,7.2,0.0,127.0,1
D000027,6.8,1085.0,1.36,21.5,0.68,-61.2,-50.8,21.2,57.0,-99.5,22.5,0.0,116.0,0
D000028,4.1,1277.0,0.87,33.0,0.59,-66.2,-46.2,22.6,36.0,-94.6,22.1,0.0,144.0,1
D000029,4.6,1227.0,1.09,31.5,0.5,-65.7,-50.1,22.0,43.0,-96.0,6.5,0.0,130.0,0
D000030,6.0,1188.0,0.85,33.5,0.37,-65.4,-46.7,25.2,34.0,-95.7,,1.0,149.0,1
D000031,3.7,1199.0,1.07,33.0,0.36,-67.0,-48.4,21.4,52.0,-92.7,19.2,,108.0,0
D000032,4.8,1298.0,1.35,21.5,0.7,-64.4,-53.3,23.9,44.0,-97.6,6.1,0.0,118.0,0
D000033,4.6,1245.0,0.82,22.5,0.47,-61.7,-50.4,25.0,35.0,-94.3,17.2,1.0,110.0,0
D000034,5.6,1161.0,1.39,27.0,0.61,-66.5,-47.8,21.1,54.0,-97.2,18.8,1.0,104.0,0
D000035,3.2,1320.0,0.84,40.0,0.52,-62.4,-49.8,27.3,36.0,-98.6,0.7,0.0,141.0,1
D000036,6.3,1164.0,1.13,38.0,0.45,-61.2,-48.6,22.3,32.0,-99.4,9.7,1.0,114.0,1
D000037,4.2,1137.0,1.24,30.0,0.51,-66.1,-50.3,22.8,39.0,-96.4,8.9,0.0,132.0,1
D000038,6.8,1048.0,1.07,,0.59,-61.9,-50.5,29.6,49.0,-98.3,9.8,0.0,130.0,0
D000039,5.9,1204.0,1.21,30.0,0.45,-65.6,-49.2,24.8,44.0,-95.4,7.6,0.0,129.0,1
D000040,6.3,1067.0,0.88,27.0,,-68.7,-49.0,24.5,58.0,-91.9,14.1,,134.0,1
D000041,3.2,1318.0,0.93,33.5,0.6,-67.6,-46.0,24.6,53.0,-97.2,9.0,1.0,119.0,0
D000042,5.1,1196.0,1.11,28.0,0.54,-66.5,-50.5,23.6,48.0,-95.1,9.1,1.0,121.0,1
D000043,4.9,1186.0,1.12,33.0,0.5,-65.0,-50.0,24.5,44.0,-94.4,9.9,0.0,137.0,1
D000044,5.1,1172.0,1.01,25.5,0.51,-65.9,-48.6,25.1,43.0,-94.8,7.2,1.0,134.0,1
D000045,5.8,1238.0,1.37,39.0,0.68,-69.7,-47.0,24.5,35.0,-93.2,8.8,1.0,128.0,1
D000046,4.6,1057.0,1.28,21.5,0.67,-61.5,-46.8,29.1,32.0,-98.8,6.9,1.0,138.0,0
D000047,4.4,1131.0,1.23,27.0,0.49,-66.0,-50.2,21.9,46.0,-94.1,3.4,1.0,125.0,0
D000048,6.7,1030.0,1.04,29.0,0.32,-62.3,-53.1,29.2,48.0,-91.2,22.5,1.0,115.0,0
D000049,5.2,1134.0,1.0,27.0,0.43,-66.2,-48.7,23.9,45.0,-95.1,9.7,0.0,126.0,1
D000050,4.3,1358.0,0.82,24.5,0.43,-65.0,-47.4,25.6,42.0,-92.0,21.3,0.0,121.0,0
D000051,4.9,1142.0,1.13,27.5,0.56,-65.6,-50.8,24.2,47.0,-94.8,8.6,1.0,125.0,1
D000052,4.8,1151.0,1.01,26.5,0.47,-63.6,-50.5,23.3,46.0,-96.4,7.9,1.0,134.0,1
D000053,5.1,1198.0,,28.0,0.42,-66.1,-49.3,23.9,40.0,-97.0,5.8,1.0,127.0,1
D000054,3.8,1168.0,1.18,31.5,0.42,-64.7,-49.4,24.8,47.0,-96.5,6.0,1.0,129.0,1
D000055,3.9,1280.0,1.14,29.0,0.59,-61.6,-52.5,24.5,41.0,-96.5,10.5,1.0,145.0,1
D000056,3.5,1366.0,1.15,38.0,0.42,-61.9,-47.0,27.1,53.0,-97.5,14.6,1.0,131.0,0
D000057,4.8,1196.0,0.94,30.5,0.48,-65.0,-50.1,24.8,47.0,-96.4,5.8,1.0,124.0,1
D000058,6.3,1079.0,1.44,25.0,0.59,-63.6,-54.2,27.0,33.0,-92.0,23.4,1.0,111.0,0
